iter	RMSE
285	3.586764843
286	3.584752711
287	3.578490213
288	3.575945162
289	3.573391971
290	3.568296474
291	3.563704843
292	3.558977114
293	3.556854086
294	3.553354992
295	3.551249325
296	3.54692861
297	3.543714912
298	3.540518181
299	3.539031985
300	3.535704476
301	3.53205675
302	3.526641858
303	3.522823612
304	3.518995162
305	3.517074156
306	3.511683557
307	3.508937863
308	3.50551032
309	3.500749299
310	3.498927913
311	3.496778826
312	3.495644949
313	3.493069799
314	3.491036192
315	3.487987852
316	3.486898901
317	3.481286368
318	3.478581405
319	3.475394017
320	3.473743134
321	3.470314582
322	3.465547609
323	3.463344425
324	3.461806961
325	3.458456643
326	3.455168953
327	3.449926145
328	3.447327147
329	3.443597487
330	3.440586876
331	3.438615425
332	3.436190331
333	3.431708343
334	3.429645968
335	3.427607311
336	3.425896172
337	3.424029334
338	3.4215734
339	3.418961589
340	3.417573186
341	3.412834544
342	3.410595879
343	3.408607119
344	3.407649135
345	3.406118391
346	3.400928091
347	3.399638381
348	3.395873124
349	3.395037877
350	3.392455722
351	3.39022287
352	3.387704217
353	3.383596422
354	3.380490771
355	3.378972348
356	3.377223898
357	3.375042078
358	3.371235849
359	3.369187227
360	3.366551975
361	3.363220188
362	3.36122271
363	3.359332467
364	3.356820307
365	3.354989655
366	3.352690663
367	3.351072667
368	3.34907902
369	3.346272158
370	3.343583998
371	3.34178145
372	3.339634817
373	3.338491674
374	3.336243503
375	3.335150751
376	3.333246909
377	3.330196436
378	3.328351891
379	3.324713517
380	3.322625475
381	3.32110604
382	3.318843951
383	3.315328645
384	3.314228655
385	3.311980639
386	3.310363539
387	3.30854213
388	3.307169407
389	3.306148243
390	3.304496161
391	3.303132092
392	3.301235505
393	3.299268321
394	3.29709988
395	3.295599944
396	3.29383201
397	3.292382928
398	3.291673851
399	3.289763222
400	3.287291403
401	3.284462497
402	3.283387383
403	3.281504071
404	3.27821019
405	3.277232021
406	3.275469691
407	3.272864204
408	3.271031793
409	3.268018747
410	3.26678116
411	3.263852921
412	3.262479901
413	3.26077872
414	3.259164666
415	3.255868227
416	3.253238811
417	3.251950309
418	3.250134286
419	3.247423406
420	3.246354325
421	3.244798172
422	3.243719689
423	3.239524257
424	3.23864034
425	3.237065055
426	3.233573334
427	3.232629594
428	3.231237182
429	3.228258204
430	3.225539126
431	3.224217422
432	3.223013841
433	3.221374385
434	3.220457918
435	3.219048995
436	3.217251661
437	3.215699148
438	3.213642026
439	3.212429181
440	3.211050623
441	3.209254502
442	3.207693179
443	3.205097892
444	3.203204553
445	3.20181189
446	3.201172241
447	3.198914758
448	3.197027334
449	3.196216364
450	3.192746049
451	3.190095427
452	3.18802268
453	3.185648209
454	3.184405751
455	3.183639195
456	3.182939591
457	3.181810288
458	3.179868953
459	3.179213122
460	3.177498033
461	3.175948876
462	3.174098523
463	3.172770161
464	3.172033102
465	3.169355275
466	3.168177454
467	3.16698693
468	3.164987283
469	3.162510907
470	3.160990431
471	3.15958203
472	3.15810993
473	3.156818635
474	3.154645853
475	3.152355405
476	3.150513936
477	3.148825867
478	3.147945607
479	3.145595535
480	3.14447512
481	3.143216472
482	3.140617857
483	3.139595891
484	3.138655785
485	3.137449156
486	3.135160381
487	3.134453774
488	3.131685833
489	3.130806454
490	3.128610205
491	3.127556025
492	3.126822269
493	3.124973047
494	3.12277689
495	3.122096299
496	3.120049098
497	3.11885154
498	3.117587334
499	3.114825554
500	3.113023673
501	3.111278168
502	3.110803
503	3.109701112
504	3.106560695
505	3.104870394
506	3.103325384
507	3.101812557
508	3.100756634
509	3.100000138
510	3.098732604
511	3.096835089
512	3.094751051
513	3.094203892
514	3.092325822
515	3.09059386
516	3.089894885
517	3.088963806
518	3.086561802
519	3.085987486
520	3.084957574
521	3.08416599
522	3.082669928
523	3.081527667
524	3.079436137
525	3.078995113
526	3.076989988
527	3.076159547
528	3.075202309
529	3.074683902
530	3.072181362
531	3.07072775
532	3.069862102
533	3.06943739
534	3.068512145
535	3.067818333
536	3.066632051
537	3.065090337
538	3.064354658
539	3.062001451
540	3.060233413
541	3.058295158
542	3.056287017
543	3.054246834
544	3.053975952
545	3.053492171
546	3.051694309
547	3.049892124
548	3.048933902
549	3.048503726
550	3.047143959
551	3.045763616
552	3.043797544
553	3.042470172
554	3.042045081
555	3.040719293
556	3.039910958
557	3.037247112
558	3.036302862
559	3.035121773
560	3.032821171
561	3.032232132
562	3.030873411
563	3.028092157
564	3.027597117
565	3.025942448
566	3.02441201
567	3.022686724
568	3.021810646
569	3.020813577
570	3.019520245
571	3.017072191
572	3.015945485
573	3.015386032
574	3.014356335
575	3.012458876
576	3.011215883
577	3.010693677
578	3.00808315
579	3.007298147
580	3.005724879
581	3.00419145
582	3.003360624
583	3.001666205
584	3.000320554
585	2.999504662
586	2.998997164
587	2.99719093
588	2.996323377
589	2.995204592
590	2.994097175
591	2.992022455
592	2.991192515
593	2.988391613
594	2.987180203
595	2.98557584
596	2.984324745
597	2.983055033
598	2.981845202
599	2.98086212
600	2.978970502
601	2.977883326
602	2.975967584
603	2.974824394
604	2.973547459
605	2.97217246
606	2.970650426
607	2.969982643
608	2.969572305
609	2.96793216
610	2.967576353
611	2.96702173
612	2.966468336
613	2.964909989
614	2.963608685
615	2.961759227
616	2.959762588
617	2.957922698
618	2.956720425
619	2.955699493
620	2.954010959
621	2.953680742
622	2.952282686
623	2.951496535
624	2.950704435
625	2.94983336
626	2.948765009
627	2.947223196
628	2.945889716
629	2.945286129
630	2.944087408
631	2.942764888
632	2.942439897
633	2.941510475
634	2.940324637
635	2.939632648
636	2.938194583
637	2.937847535
638	2.936966092
639	2.936570488
640	2.934839429
641	2.932736161
642	2.931677457
643	2.930989623
644	2.929730612
645	2.929151465
646	2.928817727
647	2.926987331
648	2.925037475
649	2.924626397
650	2.923648856
651	2.922444181
652	2.921571478
653	2.92069986
654	2.918883242
655	2.917246728
656	2.916952455
657	2.9162736
658	2.915857041
659	2.913492958
660	2.913217888
661	2.911625616
662	2.911415947
663	2.909318095
664	2.908347673
665	2.907718927
666	2.906778268
667	2.905795995
668	2.905582104
669	2.904354965
670	2.903638552
671	2.902183422
672	2.900885694
673	2.899762031
674	2.899655471
675	2.899356512
676	2.898476959
677	2.896872113
678	2.896024514
679	2.894878621
680	2.893237769
681	2.892143376
682	2.890975765
683	2.889186088
684	2.888596864
685	2.887552251
686	2.88705148
687	2.885257012
688	2.884582037
689	2.883811906
690	2.882795461
691	2.881727686
692	2.880373643
693	2.879780034
694	2.878568967
695	2.878220775
696	2.877054584
697	2.875301998
698	2.873684432
699	2.872152881
700	2.869167279
701	2.867731854
702	2.866698339
703	2.866378318
704	2.865235482
705	2.863122792
706	2.861650421
707	2.860125881
708	2.859193458
709	2.858594257
710	2.8572069
711	2.855651777
712	2.854715819
713	2.853875524
714	2.852924669
715	2.852591449
716	2.852031786
717	2.850385658
718	2.849499453
719	2.848264017
720	2.848041989
721	2.847060535
722	2.84516356
723	2.844322284
724	2.843362345
725	2.842806399
726	2.841289295
727	2.840825821
728	2.839920849
729	2.83709881
730	2.836482394
731	2.83556277
732	2.833997283
733	2.83329499
734	2.832291209
735	2.831156642
736	2.830874743
737	2.830053752
738	2.829495244
739	2.828117274
740	2.827513792
741	2.826061191
742	2.824796641
743	2.823713843
744	2.822670277
745	2.822081589
746	2.821581304
747	2.820571446
748	2.819544546
749	2.818411141
750	2.817917659
751	2.817482229
752	2.816265434
753	2.816041426
754	2.814983636
755	2.814727209
756	2.81450838
757	2.812750601
758	2.812354812
759	2.810776894
760	2.809855066
761	2.809428684
762	2.808442887
763	2.807655057
764	2.807266064
765	2.805708509
766	2.804231541
767	2.802882976
768	2.802314612
769	2.80217026
770	2.80128741
771	2.801159284
772	2.799878173
773	2.799247291
774	2.798295967
775	2.798059095
776	2.797055451
777	2.796400288
778	2.795975191
779	2.794903646
780	2.794145726
781	2.793741584
782	2.793462593
783	2.792953647
784	2.792105438
785	2.791545646
786	2.789826351
787	2.787165121
788	2.786968313
789	2.786080181
790	2.785386375
791	2.784226072
792	2.78293904
793	2.781776343
794	2.781546334
795	2.780605278
796	2.780006361
797	2.779679179
798	2.778799342
799	2.777332154
800	2.775528581
801	2.774887804
802	2.774073166
803	2.773459748
804	2.772713578
805	2.77138026
806	2.771003538
807	2.769910619
808	2.769680467
809	2.768766716
810	2.767464172
811	2.766930112
812	2.766042624
813	2.765347842
814	2.764301875
815	2.763418193
816	2.76245603
817	2.76177418
818	2.761373875
819	2.760967164
820	2.760197801
821	2.759430977
822	2.758358367
823	2.758107866
824	2.757091181
825	2.756975193
826	2.756029272
827	2.755478577
828	2.75485151
829	2.754071871
830	2.752866096
831	2.752454293
832	2.751082536
833	2.74969974
834	2.749205852
835	2.74866829
836	2.748053676
837	2.746762908
838	2.745452422
839	2.744438758
840	2.743720091
841	2.743317869
842	2.742938714
843	2.742685523
844	2.742053251
845	2.741090102
846	2.740394616
847	2.740034733
848	2.739376303
849	2.738424
850	2.737898371
851	2.737023968
852	2.736874554
853	2.736132711
854	2.735624953
855	2.735484531
856	2.73450524
857	2.733367895
858	2.732908467
859	2.731701821
860	2.73125535
861	2.730840873
862	2.730240093
863	2.729789965
864	2.728511269
865	2.727609205
866	2.726964066
867	2.726831404
868	2.725887001
869	2.724904304
870	2.724274446
871	2.723734568
872	2.722984075
873	2.721566771
874	2.720429718
875	2.719034952
876	2.718192219
877	2.717363232
878	2.71715514
879	2.71678507
880	2.716142858
881	2.715783371
882	2.714548386
883	2.713250483
884	2.712500546
885	2.711763258
886	2.710984095
887	2.710722974
888	2.71001298
889	2.709379605
890	2.709192455
891	2.707863212
892	2.707767933
893	2.706893302
894	2.706099087
895	2.705548629
896	2.705408072
897	2.704606323
898	2.704068443
899	2.703686169
900	2.703284668
901	2.702765351
902	2.701912294
903	2.701282184
904	2.700632025
905	2.699276757
906	2.697467632
907	2.696836808
908	2.69643567
909	2.695840738
910	2.695621212
911	2.694708983
912	2.694255758
913	2.692439722
914	2.690966636
915	2.690138389
916	2.689756372
917	2.689206559
918	2.688119601
919	2.687293496
920	2.686741264
921	2.686067596
922	2.685159948
923	2.684728632
924	2.683049654
925	2.681670537
926	2.680269422
927	2.679874993
928	2.679768291
929	2.679260569
930	2.678678738
931	2.676238935
932	2.675243851
933	2.674460558
934	2.67361951
935	2.673165319
936	2.672828536
937	2.672405876
938	2.671658745
939	2.670745385
940	2.670299277
941	2.669454676
942	2.669053225
943	2.667849101
944	2.666745147
945	2.666591572
946	2.665158029
947	2.6644434
948	2.664032262
949	2.663874009
950	2.663530415
951	2.663388708
952	2.661880738
953	2.660764895
954	2.660349165
955	2.659170549
956	2.658388726
957	2.657761815
958	2.657357808
959	2.657013856
960	2.656184655
961	2.654863686
962	2.653769177
963	2.653369426
964	2.652211328
965	2.651600174
966	2.650926529
967	2.649954414
968	2.648541968
969	2.647595495
970	2.646857218
971	2.646563264
972	2.645862737
973	2.645189801
974	2.64359901
975	2.643316374
976	2.642404162
977	2.641786553
978	2.640981353
979	2.639767014
980	2.638751949
981	2.63832467
982	2.637939229
983	2.637146194
984	2.636676209
985	2.635785472
986	2.635456179
987	2.634847105
988	2.633958318
989	2.633190711
990	2.632224816
991	2.631767918
992	2.631314678
993	2.630344905
994	2.63011174
995	2.629141321
996	2.628212556
997	2.62749511
998	2.626768794
999	2.626492254
